id,username,created_at,lng,lat,text
1514867695669456897,David_Puffin21,Fri Apr 15 07:26:18 +0000 2022,-83.574671,41.6565905,"@_Blackloveee That’s unfortunate af , that’s usually the easiest way but every woman is different tho"
1514867700429844480,_brayj,Fri Apr 15 07:26:19 +0000 2022,-117.104989,32.810012,@Shinkuhadoken88 Ahahaha she is!!! Love it
1514867703156133890,DjmagicdSfnrg,Fri Apr 15 07:26:19 +0000 2022,-122.4359785,37.7706565,@Russinowitsch @RoyalFamily @VogueUkraine @Dollywood @DollyParton @SFPD @SFFDPIO @LondonBreed @GavinNewsom… https://t.co/zRpBFzgDkv
1514867703818858497,LaGuera_cx,Fri Apr 15 07:26:20 +0000 2022,-115.1678655,36.1075595,✨Sin City✨ https://t.co/34EIq6TU78
1514867705341378561,FlahautFlahaut1,Fri Apr 15 07:26:20 +0000 2022,-122.4294405,47.139885,@zakavkaza I was asked to hild my brothers criwn till he was ready too succsess our dad from sexxton duke phipay is hess brandons father
1514867705626701827,Cho_Cho,Fri Apr 15 07:26:20 +0000 2022,-81.571184,28.6056035,...Peace... ~( : https://t.co/LYRufoGQje
1514867715302776835,PotatoPoundCake,Fri Apr 15 07:26:22 +0000 2022,-122.3306025,47.614817,@TheMantalope *looks over*  👀🤤 https://t.co/FdbLj1cGhl
1514867726040416260,ltz_Azzy,Fri Apr 15 07:26:25 +0000 2022,-80.4733245,41.233537,I failed man. 😔Sorry @KARNAGEclan
1514867729253036033,realKerryByard,Fri Apr 15 07:26:26 +0000 2022,-122.284264,47.176459,@GregJohnsMLB They are the Seattle Mariners. that's the only answer.
1514867734093258752,jeansaintLEFE,Fri Apr 15 07:26:27 +0000 2022,-118.4119065,34.0207895,@jtlilbrother You have to watch Elite on Netflix
1514867738547654659,Enrique510_,Fri Apr 15 07:26:28 +0000 2022,-122.113371,37.697062,@PointSpreadMax (The full results didn’t fit)
1514867738916786177,youlovetreshab,Fri Apr 15 07:26:28 +0000 2022,-115.133373,36.2491245,I’m hell bound but heaven sent
1514867741928296452,daddyfatcock21,Fri Apr 15 07:26:29 +0000 2022,-118.4119065,34.0207895,@yourstrulyyvett Sexy
1514867753684979716,Scarheart761,Fri Apr 15 07:26:32 +0000 2022,-111.917026,40.765805,"@JennaLynnMeowri Yes. Yes, you did."
1514867755123720192,MrKaress,Fri Apr 15 07:26:32 +0000 2022,-79.8573635,36.090397,Ladies love Sagittarius 💯
1514867756163866626,travistrainer,Fri Apr 15 07:26:32 +0000 2022,-74.3113589,40.5573408,"I'm at Delta Hotels by Marriott Woodbridge - @renwoodbridge in Iselin, NJ https://t.co/eBM2yG3z09"
1514867756008714242,bigloveabove,Fri Apr 15 07:26:32 +0000 2022,-77.604684,41.1179365,Went out sad.Try Crossfit next time https://t.co/Bipdb7ToGb
1514867757464047616,LexJim1,Fri Apr 15 07:26:32 +0000 2022,-85.7682405,37.822244,@ChaimGottheil @sarahbeth345 You may be onto something there. Elephants must be super spreaders!
1514867761859727360,MaryLV25,Fri Apr 15 07:26:33 +0000 2022,-100,40,Available in shop click link in bio or in comment 🛍💜🛍 @ United States https://t.co/VoKTjcMYE8
1514867761784131585,ymerejshay,Fri Apr 15 07:26:33 +0000 2022,-112.4348275,42.863516,“That is so Moral Majority. You can’t blame real-life violence on entertainment.”So many favorite Scream 2 lines… https://t.co/L2ts2kuVES
1514867763470376964,elheartboy,Fri Apr 15 07:26:34 +0000 2022,-95.4464865,29.838495,They be begging for it too 🤣
1514867763864604677,Priyesh1081,Fri Apr 15 07:26:34 +0000 2022,-80.3326055,43.402109,@madebygoogle @9to5Google that's astrophotography #pixel6pro #exploring #Nightsky https://t.co/LXMVGu6xly
1514867768763596803,itsbreonicac,Fri Apr 15 07:26:35 +0000 2022,-97.2859135,32.7799665,Very big on if im already doing it alone what do i need help for?
1514867774228729864,wchazz,Fri Apr 15 07:26:36 +0000 2022,-82.5777,27.4882,"Just posted a photo @ Bradenton, Florida https://t.co/k2NliSPQIp"
