id,username,created_at,lng,lat,text
1514866908444733444,eli_beatty,Fri Apr 15 07:23:10 +0000 2022,-0.0706035,51.464686,@SCTrojanDuck @RFriesen87 @ColinDorland @TicTacTOmar Guess it just depends on the refs that day cuz let’s admit. It’s never consistent
1514866910357303297,CymruMarket,Fri Apr 15 07:23:10 +0000 2022,-1.396467,50.921327500000004,Visit @aberdistillery this weekend and try out their wonderful products...
1514866913163321354,1976_kev,Fri Apr 15 07:23:11 +0000 2022,-7.1781365,55.0241435,https://t.co/VTOVpCdu2EThis is one of our 1.2m wide home bars. It stands at 1.1m tall and is .550mm deep.It has… https://t.co/adfsEuJmE2
1514866915885334536,kjx3d,Fri Apr 15 07:23:12 +0000 2022,-6.815333,53.15480650000001,"@ThatBloke_Jesus Up or down  ???.🤔..eh, thought you'd prefer 'a close shave' tonight."
1514866923443564552,Samuelw37418400,Fri Apr 15 07:23:14 +0000 2022,-0.7280465,51.232789,@sbudner @amhoward01 @JMPSimor Just answer the question..... what housing is there for them ?? What hospital beds ?… https://t.co/GmZazb7uvS
1514866927411343364,HeresTommy,Fri Apr 15 07:23:15 +0000 2022,-3.5456950000000003,50.447559,How to Listen So Men will Talk by Tom Chapman | Waterstones https://t.co/TIk9LVcSVF
1514866931798585348,lollyjan2003,Fri Apr 15 07:23:16 +0000 2022,-4.7979325,55.645424,@SueAshmore3 morning 🌄 have a lovely Easter weekend 😊 😘 ☺️
1514866934898122758,CymruMarket,Fri Apr 15 07:23:16 +0000 2022,-1.396467,50.921327500000004,Special Shout Out to the wonderful diversely talented broadcaster and writer @lucyowenwalesPlease support this won… https://t.co/OpecDr6YTR
1514866936768864261,NeilPugh5,Fri Apr 15 07:23:17 +0000 2022,-3.927119,50.997507,@pwsimerimiaw @CatherineEther7 @vanmaneuro Tell us more
1514866937687429127,cligeey,Fri Apr 15 07:23:17 +0000 2022,-4.200441,57.739454,Due to Tory austerity good Friday is jist Friday
1514866937850961922,LibertyRomford,Fri Apr 15 07:23:17 +0000 2022,0.2883645,51.5129015,@GameRiotArmy Shopping with a two year old...
1514866941860663299,crueljohno,Fri Apr 15 07:23:18 +0000 2022,-4.2417514999999995,55.85830249999999,@weeneilly Definitely a massive difference from the weigh in
1514866942280093701,dadgooner,Fri Apr 15 07:23:18 +0000 2022,-1.5538284999999998,54.535778,@CrustySound I think there are a few differences but I’m happy with our direction of travel ….. I do wish we moved… https://t.co/wPNoSwClZ9
1514866947095212032,PamJohns6,Fri Apr 15 07:23:19 +0000 2022,-2.058754,51.943121500000004,"@ValerieCalleno1 Lovely painting Valerie, can I just say, that’s quite a hard post to read (out loud) 😂😂😂😂"
1514866952317063172,joncerdo_xxx,Fri Apr 15 07:23:20 +0000 2022,-2.23348,53.4569525,Good Morning! Time for coffee to kick start this bank holiday weekend!#himbo #locked #collared #cagedfag https://t.co/Ia425dj7XM
